geslacht_src,lft_src,geslacht_dst,lft_dst,n
Vrouw,"[40,50)",Vrouw,"[30,40)",12470
Vrouw,"[40,50)",Vrouw,"[40,50)",11990
Vrouw,"[40,50)",Vrouw,"[50,60)",7850
Vrouw,"[40,50)",Vrouw,"[60,70)",7700
Vrouw,"[40,50)",Vrouw,"[70,80)",6370
Vrouw,"[50,60)",Man,"[0,20)",94070
Vrouw,"[50,60)",Man,"[20,30)",25620
Vrouw,"[50,60)",Man,"[30,40)",15290
Vrouw,"[50,60)",Man,"[40,50)",13920
Vrouw,"[50,60)",Man,"[50,60)",69880
Vrouw,"[50,60)",Man,"[60,70)",30380
Vrouw,"[50,60)",Man,"[70,80)",5850
Vrouw,"[50,60)",Man,"[80,120]",2970
Vrouw,"[50,60)",Vrouw,"[0,20)",26830
Vrouw,"[50,60)",Vrouw,"[20,30)",24410
Vrouw,"[50,60)",Vrouw,"[30,40)",12930
Vrouw,"[50,60)",Vrouw,"[40,50)",7850
Vrouw,"[50,60)",Vrouw,"[50,60)",12440
Vrouw,"[50,60)",Vrouw,"[60,70)",5580
Vrouw,"[50,60)",Vrouw,"[70,80)",4200
Vrouw,"[50,60)",Vrouw,"[80,120]",930
Vrouw,"[60,70)",Man,"[0,20)",16860
Vrouw,"[60,70)",Man,"[20,30)",13580
Vrouw,"[60,70)",Man,"[30,40)",18820
Vrouw,"[60,70)",Man,"[40,50)",9870
Vrouw,"[60,70)",Man,"[50,60)",6940
Vrouw,"[60,70)",Man,"[60,70)",57790
Vrouw,"[60,70)",Man,"[70,80)",38140
Vrouw,"[60,70)",Vrouw,"[0,20)",15760
Vrouw,"[60,70)",Vrouw,"[20,30)",12620
Vrouw,"[60,70)",Vrouw,"[30,40)",15530
Vrouw,"[60,70)",Vrouw,"[40,50)",7700
Vrouw,"[60,70)",Vrouw,"[50,60)",5580
Vrouw,"[60,70)",Vrouw,"[60,70)",8260
Vrouw,"[60,70)",Vrouw,"[70,80)",2120
Vrouw,"[70,80)",Man,"[0,20)",10960
Vrouw,"[70,80)",Man,"[20,30)",3720
Vrouw,"[70,80)",Man,"[30,40)",4450
Vrouw,"[70,80)",Man,"[40,50)",8490
Vrouw,"[70,80)",Man,"[50,60)",8570
Vrouw,"[70,80)",Man,"[60,70)",4580
Vrouw,"[70,80)",Man,"[70,80)",102350
Vrouw,"[70,80)",Man,"[80,120]",9910
Vrouw,"[70,80)",Vrouw,"[0,20)",10660
Vrouw,"[70,80)",Vrouw,"[20,30)",4120
Vrouw,"[70,80)",Vrouw,"[30,40)",4710
Vrouw,"[70,80)",Vrouw,"[40,50)",6370
Vrouw,"[70,80)",Vrouw,"[50,60)",4200
Vrouw,"[70,80)",Vrouw,"[60,70)",2120
Vrouw,"[70,80)",Vrouw,"[70,80)",2200
Vrouw,"[80,120]",Man,"[0,20)",780
Vrouw,"[80,120]",Man,"[20,30)",1610
Vrouw,"[80,120]",Man,"[30,40)",560
Vrouw,"[80,120]",Man,"[50,60)",2460
Vrouw,"[80,120]",Man,"[60,70)",530
Vrouw,"[80,120]",Man,"[80,120]",31910
Vrouw,"[80,120]",Vrouw,"[0,20)",320
Vrouw,"[80,120]",Vrouw,"[20,30)",1010
Vrouw,"[80,120]",Vrouw,"[50,60)",930
