lft_src,etngrp_src,oplniv_src,lft_dst,etngrp_dst,oplniv_dst,n
"[0,20)",Marokkaans,1,"[0,20)",Overig,1,33660
"[0,20)",Marokkaans,1,"[0,20)",Overig,2,1620
"[0,20)",Marokkaans,1,"[0,20)",Overig,3,10
"[0,20)",Marokkaans,1,"[0,20)",Surinaams,1,8850
"[0,20)",Marokkaans,1,"[0,20)",Surinaams,2,550
"[0,20)",Marokkaans,1,"[0,20)",Turks,1,23750
"[0,20)",Marokkaans,1,"[0,20)",Turks,2,1430
"[0,20)",Marokkaans,1,"[20,30)",Autochtoon,1,1610
"[0,20)",Marokkaans,1,"[20,30)",Autochtoon,2,7520
"[0,20)",Marokkaans,1,"[20,30)",Autochtoon,3,9480
"[0,20)",Marokkaans,1,"[20,30)",Marokkaans,1,5140
"[0,20)",Marokkaans,1,"[20,30)",Marokkaans,2,17610
"[0,20)",Marokkaans,1,"[20,30)",Marokkaans,3,6910
"[0,20)",Marokkaans,1,"[20,30)",Overig,1,3070
"[0,20)",Marokkaans,1,"[20,30)",Overig,2,8850
"[0,20)",Marokkaans,1,"[20,30)",Overig,3,6600
"[0,20)",Marokkaans,1,"[20,30)",Surinaams,1,1440
"[0,20)",Marokkaans,1,"[20,30)",Surinaams,2,4540
"[0,20)",Marokkaans,1,"[20,30)",Surinaams,3,920
"[0,20)",Marokkaans,1,"[20,30)",Turks,1,3380
"[0,20)",Marokkaans,1,"[20,30)",Turks,2,8070
"[0,20)",Marokkaans,1,"[20,30)",Turks,3,1940
"[0,20)",Marokkaans,1,"[30,40)",Autochtoon,1,1680
"[0,20)",Marokkaans,1,"[30,40)",Autochtoon,2,4360
"[0,20)",Marokkaans,1,"[30,40)",Autochtoon,3,11710
"[0,20)",Marokkaans,1,"[30,40)",Marokkaans,1,9660
"[0,20)",Marokkaans,1,"[30,40)",Marokkaans,2,10520
"[0,20)",Marokkaans,1,"[30,40)",Marokkaans,3,5710
"[0,20)",Marokkaans,1,"[30,40)",Overig,1,7850
"[0,20)",Marokkaans,1,"[30,40)",Overig,2,8430
"[0,20)",Marokkaans,1,"[30,40)",Overig,3,8400
"[0,20)",Marokkaans,1,"[30,40)",Surinaams,1,1930
"[0,20)",Marokkaans,1,"[30,40)",Surinaams,2,3470
"[0,20)",Marokkaans,1,"[30,40)",Surinaams,3,1440
"[0,20)",Marokkaans,1,"[30,40)",Turks,1,4350
"[0,20)",Marokkaans,1,"[30,40)",Turks,2,5320
"[0,20)",Marokkaans,1,"[30,40)",Turks,3,2360
"[0,20)",Marokkaans,1,"[40,50)",Autochtoon,1,3130
"[0,20)",Marokkaans,1,"[40,50)",Autochtoon,2,4930
"[0,20)",Marokkaans,1,"[40,50)",Autochtoon,3,6990
"[0,20)",Marokkaans,1,"[40,50)",Marokkaans,1,14780
"[0,20)",Marokkaans,1,"[40,50)",Marokkaans,2,8740
"[0,20)",Marokkaans,1,"[40,50)",Marokkaans,3,3020
"[0,20)",Marokkaans,1,"[40,50)",Overig,1,6850
"[0,20)",Marokkaans,1,"[40,50)",Overig,2,8020
"[0,20)",Marokkaans,1,"[40,50)",Overig,3,4300
"[0,20)",Marokkaans,1,"[40,50)",Surinaams,1,1720
"[0,20)",Marokkaans,1,"[40,50)",Surinaams,2,2930
"[0,20)",Marokkaans,1,"[40,50)",Surinaams,3,1080
"[0,20)",Marokkaans,1,"[40,50)",Turks,1,7790
"[0,20)",Marokkaans,1,"[40,50)",Turks,2,3260
"[0,20)",Marokkaans,1,"[40,50)",Turks,3,990
"[0,20)",Marokkaans,1,"[50,60)",Autochtoon,1,6350
"[0,20)",Marokkaans,1,"[50,60)",Autochtoon,2,6550
"[0,20)",Marokkaans,1,"[50,60)",Autochtoon,3,5480
"[0,20)",Marokkaans,1,"[50,60)",Marokkaans,1,12610
"[0,20)",Marokkaans,1,"[50,60)",Marokkaans,2,3370
"[0,20)",Marokkaans,1,"[50,60)",Marokkaans,3,1070
"[0,20)",Marokkaans,1,"[50,60)",Overig,1,6290
"[0,20)",Marokkaans,1,"[50,60)",Overig,2,6360
"[0,20)",Marokkaans,1,"[50,60)",Overig,3,3700
"[0,20)",Marokkaans,1,"[50,60)",Surinaams,1,2900
"[0,20)",Marokkaans,1,"[50,60)",Surinaams,2,3450
"[0,20)",Marokkaans,1,"[50,60)",Surinaams,3,880
"[0,20)",Marokkaans,1,"[50,60)",Turks,1,7080
"[0,20)",Marokkaans,1,"[50,60)",Turks,2,1590
"[0,20)",Marokkaans,1,"[50,60)",Turks,3,360
"[0,20)",Marokkaans,1,"[60,70)",Autochtoon,1,5580
"[0,20)",Marokkaans,1,"[60,70)",Autochtoon,2,5070
"[0,20)",Marokkaans,1,"[60,70)",Autochtoon,3,3710
"[0,20)",Marokkaans,1,"[60,70)",Marokkaans,1,7370
"[0,20)",Marokkaans,1,"[60,70)",Marokkaans,2,770
"[0,20)",Marokkaans,1,"[60,70)",Marokkaans,3,50
"[0,20)",Marokkaans,1,"[60,70)",Overig,1,4780
"[0,20)",Marokkaans,1,"[60,70)",Overig,2,3180
"[0,20)",Marokkaans,1,"[60,70)",Overig,3,1840
"[0,20)",Marokkaans,1,"[60,70)",Surinaams,1,2780
"[0,20)",Marokkaans,1,"[60,70)",Surinaams,2,1830
