etngrp_src,geslacht_src,lft_src,etngrp_dst,geslacht_dst,lft_dst,n
Autochtoon,Man,"[30,40)",Autochtoon,Vrouw,"[60,70)",15570
Autochtoon,Man,"[30,40)",Autochtoon,Vrouw,"[70,80)",8960
Autochtoon,Man,"[30,40)",Autochtoon,Vrouw,"[80,120]",6380
Autochtoon,Man,"[30,40)",Marokkaans,Man,"[0,20)",4660
Autochtoon,Man,"[30,40)",Marokkaans,Man,"[20,30)",2180
Autochtoon,Man,"[30,40)",Marokkaans,Man,"[30,40)",3180
Autochtoon,Man,"[30,40)",Marokkaans,Man,"[40,50)",2240
Autochtoon,Man,"[30,40)",Marokkaans,Man,"[50,60)",1450
Autochtoon,Man,"[30,40)",Marokkaans,Man,"[60,70)",790
Autochtoon,Man,"[30,40)",Marokkaans,Man,"[70,80)",320
Autochtoon,Man,"[30,40)",Marokkaans,Man,"[80,120]",10
Autochtoon,Man,"[30,40)",Marokkaans,Vrouw,"[0,20)",4340
Autochtoon,Man,"[30,40)",Marokkaans,Vrouw,"[20,30)",3260
Autochtoon,Man,"[30,40)",Marokkaans,Vrouw,"[30,40)",3020
Autochtoon,Man,"[30,40)",Marokkaans,Vrouw,"[40,50)",1960
Autochtoon,Man,"[30,40)",Marokkaans,Vrouw,"[50,60)",1310
Autochtoon,Man,"[30,40)",Marokkaans,Vrouw,"[60,70)",720
Autochtoon,Man,"[30,40)",Marokkaans,Vrouw,"[70,80)",420
Autochtoon,Man,"[30,40)",Overig,Man,"[0,20)",17050
Autochtoon,Man,"[30,40)",Overig,Man,"[20,30)",14150
Autochtoon,Man,"[30,40)",Overig,Man,"[30,40)",29450
Autochtoon,Man,"[30,40)",Overig,Man,"[40,50)",13710
Autochtoon,Man,"[30,40)",Overig,Man,"[50,60)",7910
Autochtoon,Man,"[30,40)",Overig,Man,"[60,70)",5270
Autochtoon,Man,"[30,40)",Overig,Man,"[70,80)",2370
Autochtoon,Man,"[30,40)",Overig,Man,"[80,120]",90
Autochtoon,Man,"[30,40)",Overig,Vrouw,"[0,20)",14930
Autochtoon,Man,"[30,40)",Overig,Vrouw,"[20,30)",25030
Autochtoon,Man,"[30,40)",Overig,Vrouw,"[30,40)",32060
Autochtoon,Man,"[30,40)",Overig,Vrouw,"[40,50)",11060
Autochtoon,Man,"[30,40)",Overig,Vrouw,"[50,60)",8090
Autochtoon,Man,"[30,40)",Overig,Vrouw,"[60,70)",5180
Autochtoon,Man,"[30,40)",Overig,Vrouw,"[70,80)",2090
Autochtoon,Man,"[30,40)",Overig,Vrouw,"[80,120]",230
Autochtoon,Man,"[30,40)",Surinaams,Man,"[0,20)",2220
Autochtoon,Man,"[30,40)",Surinaams,Man,"[20,30)",2000
Autochtoon,Man,"[30,40)",Surinaams,Man,"[30,40)",2550
Autochtoon,Man,"[30,40)",Surinaams,Man,"[40,50)",1910
Autochtoon,Man,"[30,40)",Surinaams,Man,"[50,60)",2050
Autochtoon,Man,"[30,40)",Surinaams,Man,"[60,70)",1270
Autochtoon,Man,"[30,40)",Surinaams,Man,"[70,80)",290
Autochtoon,Man,"[30,40)",Surinaams,Vrouw,"[0,20)",2220
Autochtoon,Man,"[30,40)",Surinaams,Vrouw,"[20,30)",2060
Autochtoon,Man,"[30,40)",Surinaams,Vrouw,"[30,40)",2620
Autochtoon,Man,"[30,40)",Surinaams,Vrouw,"[40,50)",2260
Autochtoon,Man,"[30,40)",Surinaams,Vrouw,"[50,60)",2200
Autochtoon,Man,"[30,40)",Surinaams,Vrouw,"[60,70)",1720
Autochtoon,Man,"[30,40)",Surinaams,Vrouw,"[70,80)",430
Autochtoon,Man,"[30,40)",Surinaams,Vrouw,"[80,120]",310
Autochtoon,Man,"[30,40)",Turks,Man,"[0,20)",2680
Autochtoon,Man,"[30,40)",Turks,Man,"[20,30)",1470
Autochtoon,Man,"[30,40)",Turks,Man,"[30,40)",1930
Autochtoon,Man,"[30,40)",Turks,Man,"[40,50)",1560
Autochtoon,Man,"[30,40)",Turks,Man,"[50,60)",1340
Autochtoon,Man,"[30,40)",Turks,Man,"[60,70)",470
Autochtoon,Man,"[30,40)",Turks,Man,"[70,80)",410
Autochtoon,Man,"[30,40)",Turks,Vrouw,"[0,20)",2200
Autochtoon,Man,"[30,40)",Turks,Vrouw,"[20,30)",1600
Autochtoon,Man,"[30,40)",Turks,Vrouw,"[30,40)",1680
Autochtoon,Man,"[30,40)",Turks,Vrouw,"[40,50)",1150
Autochtoon,Man,"[30,40)",Turks,Vrouw,"[50,60)",970
Autochtoon,Man,"[30,40)",Turks,Vrouw,"[60,70)",440
Autochtoon,Man,"[30,40)",Turks,Vrouw,"[70,80)",240
Autochtoon,Man,"[40,50)",Autochtoon,Man,"[0,20)",30200
Autochtoon,Man,"[40,50)",Autochtoon,Man,"[20,30)",16490
Autochtoon,Man,"[40,50)",Autochtoon,Man,"[30,40)",23380
Autochtoon,Man,"[40,50)",Autochtoon,Man,"[40,50)",22830
Autochtoon,Man,"[40,50)",Autochtoon,Man,"[50,60)",21430
Autochtoon,Man,"[40,50)",Autochtoon,Man,"[60,70)",15000
Autochtoon,Man,"[40,50)",Autochtoon,Man,"[70,80)",9280
Autochtoon,Man,"[40,50)",Autochtoon,Man,"[80,120]",1620
Autochtoon,Man,"[40,50)",Autochtoon,Vrouw,"[0,20)",28920
Autochtoon,Man,"[40,50)",Autochtoon,Vrouw,"[20,30)",19380
Autochtoon,Man,"[40,50)",Autochtoon,Vrouw,"[30,40)",22210
Autochtoon,Man,"[40,50)",Autochtoon,Vrouw,"[40,50)",22190
Autochtoon,Man,"[40,50)",Autochtoon,Vrouw,"[50,60)",18950
Autochtoon,Man,"[40,50)",Autochtoon,Vrouw,"[60,70)",13980
Autochtoon,Man,"[40,50)",Autochtoon,Vrouw,"[70,80)",9670
Autochtoon,Man,"[40,50)",Autochtoon,Vrouw,"[80,120]",5850
Autochtoon,Man,"[40,50)",Marokkaans,Man,"[0,20)",4100
Autochtoon,Man,"[40,50)",Marokkaans,Man,"[20,30)",1630
Autochtoon,Man,"[40,50)",Marokkaans,Man,"[30,40)",1900
Autochtoon,Man,"[40,50)",Marokkaans,Man,"[40,50)",2560
Autochtoon,Man,"[40,50)",Marokkaans,Man,"[50,60)",1540
Autochtoon,Man,"[40,50)",Marokkaans,Man,"[60,70)",550
Autochtoon,Man,"[40,50)",Marokkaans,Man,"[70,80)",300
Autochtoon,Man,"[40,50)",Marokkaans,Vrouw,"[0,20)",3810
Autochtoon,Man,"[40,50)",Marokkaans,Vrouw,"[20,30)",1820
Autochtoon,Man,"[40,50)",Marokkaans,Vrouw,"[30,40)",2100
Autochtoon,Man,"[40,50)",Marokkaans,Vrouw,"[40,50)",1840
Autochtoon,Man,"[40,50)",Marokkaans,Vrouw,"[50,60)",680
Autochtoon,Man,"[40,50)",Marokkaans,Vrouw,"[60,70)",540
Autochtoon,Man,"[40,50)",Marokkaans,Vrouw,"[70,80)",610
Autochtoon,Man,"[40,50)",Overig,Man,"[0,20)",18320
Autochtoon,Man,"[40,50)",Overig,Man,"[20,30)",7930
Autochtoon,Man,"[40,50)",Overig,Man,"[30,40)",21360
Autochtoon,Man,"[40,50)",Overig,Man,"[40,50)",17320
Autochtoon,Man,"[40,50)",Overig,Man,"[50,60)",8600
Autochtoon,Man,"[40,50)",Overig,Man,"[60,70)",4760
Autochtoon,Man,"[40,50)",Overig,Man,"[70,80)",2000
Autochtoon,Man,"[40,50)",Overig,Man,"[80,120]",280
Autochtoon,Man,"[40,50)",Overig,Vrouw,"[0,20)",15520
Autochtoon,Man,"[40,50)",Overig,Vrouw,"[20,30)",14930
Autochtoon,Man,"[40,50)",Overig,Vrouw,"[30,40)",21700
Autochtoon,Man,"[40,50)",Overig,Vrouw,"[40,50)",12500
