etngrp,geslacht,lft,oplniv,n
Autochtoon,Vrouw,"[80,120]",3,692
Marokkaans,Man,"[0,20)",1,12205
Marokkaans,Man,"[0,20)",2,594
Marokkaans,Man,"[0,20)",3,0
Marokkaans,Man,"[20,30)",1,1502
Marokkaans,Man,"[20,30)",2,3704
Marokkaans,Man,"[20,30)",3,693
Marokkaans,Man,"[30,40)",1,2342
Marokkaans,Man,"[30,40)",2,2292
Marokkaans,Man,"[30,40)",3,1165
Marokkaans,Man,"[40,50)",1,2701
Marokkaans,Man,"[40,50)",2,2094
Marokkaans,Man,"[40,50)",3,703
Marokkaans,Man,"[50,60)",1,2708
Marokkaans,Man,"[50,60)",2,1166
Marokkaans,Man,"[50,60)",3,424
Marokkaans,Man,"[60,70)",1,1963
Marokkaans,Man,"[60,70)",2,386
Marokkaans,Man,"[60,70)",3,49
Marokkaans,Man,"[70,80)",1,1565
Marokkaans,Man,"[70,80)",2,33
Marokkaans,Man,"[70,80)",3,1
Marokkaans,Man,"[80,120]",1,600
Marokkaans,Man,"[80,120]",2,0
Marokkaans,Man,"[80,120]",3,0
Marokkaans,Vrouw,"[0,20)",1,11509
Marokkaans,Vrouw,"[0,20)",2,789
Marokkaans,Vrouw,"[0,20)",3,0
Marokkaans,Vrouw,"[20,30)",1,588
Marokkaans,Vrouw,"[20,30)",2,4233
Marokkaans,Vrouw,"[20,30)",3,1178
Marokkaans,Vrouw,"[30,40)",1,2313
Marokkaans,Vrouw,"[30,40)",2,2479
Marokkaans,Vrouw,"[30,40)",3,1806
Marokkaans,Vrouw,"[40,50)",1,2555
Marokkaans,Vrouw,"[40,50)",2,2068
Marokkaans,Vrouw,"[40,50)",3,875
Marokkaans,Vrouw,"[50,60)",1,2903
Marokkaans,Vrouw,"[50,60)",2,597
Marokkaans,Vrouw,"[50,60)",3,99
Marokkaans,Vrouw,"[60,70)",1,2252
Marokkaans,Vrouw,"[60,70)",2,44
Marokkaans,Vrouw,"[60,70)",3,2
Marokkaans,Vrouw,"[70,80)",1,1000
Marokkaans,Vrouw,"[70,80)",2,0
Marokkaans,Vrouw,"[70,80)",3,0
Marokkaans,Vrouw,"[80,120]",1,300
Marokkaans,Vrouw,"[80,120]",2,0
Marokkaans,Vrouw,"[80,120]",3,0
Overig,Man,"[0,20)",1,26101
Overig,Man,"[0,20)",2,991
Overig,Man,"[0,20)",3,7
Overig,Man,"[20,30)",1,1919
Overig,Man,"[20,30)",2,9477
Overig,Man,"[20,30)",3,17202
Overig,Man,"[30,40)",1,2677
Overig,Man,"[30,40)",2,3822
Overig,Man,"[30,40)",3,24999
Overig,Man,"[40,50)",1,4264
Overig,Man,"[40,50)",2,6174
Overig,Man,"[40,50)",3,9361
Overig,Man,"[50,60)",1,2734
Overig,Man,"[50,60)",2,5522
Overig,Man,"[50,60)",3,7942
Overig,Man,"[60,70)",1,3494
Overig,Man,"[60,70)",2,3409
Overig,Man,"[60,70)",3,3396
Overig,Man,"[70,80)",1,1326
Overig,Man,"[70,80)",2,1082
Overig,Man,"[70,80)",3,2290
Overig,Man,"[80,120]",1,126
Overig,Man,"[80,120]",2,170
Overig,Man,"[80,120]",3,1202
Overig,Vrouw,"[0,20)",1,24600
Overig,Vrouw,"[0,20)",2,1791
Overig,Vrouw,"[0,20)",3,7
Overig,Vrouw,"[20,30)",1,3870
Overig,Vrouw,"[20,30)",2,15730
Overig,Vrouw,"[20,30)",3,13299
Overig,Vrouw,"[30,40)",1,2278
Overig,Vrouw,"[30,40)",2,9266
Overig,Vrouw,"[30,40)",3,19555
Overig,Vrouw,"[40,50)",1,3490
Overig,Vrouw,"[40,50)",2,5060
Overig,Vrouw,"[40,50)",3,11049
Overig,Vrouw,"[50,60)",1,3035
Overig,Vrouw,"[50,60)",2,4247
Overig,Vrouw,"[50,60)",3,7217
Overig,Vrouw,"[60,70)",1,2966
Overig,Vrouw,"[60,70)",2,3017
Overig,Vrouw,"[60,70)",3,4116
Overig,Vrouw,"[70,80)",1,1533
Overig,Vrouw,"[70,80)",2,1585
Overig,Vrouw,"[70,80)",3,1781
Overig,Vrouw,"[80,120]",1,1440
