etngrp_src,geslacht_src,lft_src,etngrp_dst,geslacht_dst,lft_dst,n
Autochtoon,Man,"[30,40)",Autochtoon,Man,"[20,30)",7650
Autochtoon,Man,"[30,40)",Autochtoon,Man,"[30,40)",11070
Autochtoon,Man,"[30,40)",Autochtoon,Man,"[40,50)",3970
Autochtoon,Man,"[30,40)",Autochtoon,Man,"[50,60)",3160
Autochtoon,Man,"[30,40)",Autochtoon,Man,"[60,70)",6080
Autochtoon,Man,"[30,40)",Autochtoon,Man,"[70,80)",2620
Autochtoon,Man,"[30,40)",Autochtoon,Vrouw,"[0,20)",8780
Autochtoon,Man,"[30,40)",Autochtoon,Vrouw,"[20,30)",8200
Autochtoon,Man,"[30,40)",Autochtoon,Vrouw,"[30,40)",18020
Autochtoon,Man,"[30,40)",Autochtoon,Vrouw,"[40,50)",4370
Autochtoon,Man,"[30,40)",Autochtoon,Vrouw,"[50,60)",4620
Autochtoon,Man,"[30,40)",Autochtoon,Vrouw,"[60,70)",6880
Autochtoon,Man,"[30,40)",Autochtoon,Vrouw,"[70,80)",1720
Autochtoon,Man,"[30,40)",Autochtoon,Vrouw,"[80,120]",440
Autochtoon,Man,"[30,40)",Marokkaans,Man,"[0,20)",40
Autochtoon,Man,"[30,40)",Marokkaans,Vrouw,"[0,20)",30
Autochtoon,Man,"[30,40)",Marokkaans,Vrouw,"[30,40)",50
Autochtoon,Man,"[30,40)",Overig,Man,"[0,20)",1700
Autochtoon,Man,"[30,40)",Overig,Man,"[20,30)",550
Autochtoon,Man,"[30,40)",Overig,Man,"[30,40)",760
Autochtoon,Man,"[30,40)",Overig,Man,"[40,50)",260
Autochtoon,Man,"[30,40)",Overig,Man,"[50,60)",250
Autochtoon,Man,"[30,40)",Overig,Man,"[60,70)",430
Autochtoon,Man,"[30,40)",Overig,Man,"[70,80)",20
Autochtoon,Man,"[30,40)",Overig,Vrouw,"[0,20)",1690
Autochtoon,Man,"[30,40)",Overig,Vrouw,"[20,30)",770
Autochtoon,Man,"[30,40)",Overig,Vrouw,"[30,40)",2720
