etngrp_src,geslacht_src,oplniv_src,etngrp_dst,geslacht_dst,oplniv_dst,n
Marokkaans,Man,1,Overig,Man,2,17540
Marokkaans,Man,1,Overig,Man,3,11470
Marokkaans,Man,1,Overig,Vrouw,1,68020
Marokkaans,Man,1,Overig,Vrouw,2,17660
Marokkaans,Man,1,Overig,Vrouw,3,7470
Marokkaans,Man,1,Surinaams,Man,1,25060
Marokkaans,Man,1,Surinaams,Man,2,8220
Marokkaans,Man,1,Surinaams,Man,3,810
Marokkaans,Man,1,Surinaams,Vrouw,1,19080
Marokkaans,Man,1,Surinaams,Vrouw,2,5830
Marokkaans,Man,1,Surinaams,Vrouw,3,1360
Marokkaans,Man,1,Turks,Man,1,41810
Marokkaans,Man,1,Turks,Man,2,8630
Marokkaans,Man,1,Turks,Man,3,1510
Marokkaans,Man,1,Turks,Vrouw,1,40010
Marokkaans,Man,1,Turks,Vrouw,2,5460
Marokkaans,Man,1,Turks,Vrouw,3,830
Marokkaans,Man,2,Autochtoon,Man,1,11350
Marokkaans,Man,2,Autochtoon,Man,2,38100
Marokkaans,Man,2,Autochtoon,Man,3,29830
Marokkaans,Man,2,Autochtoon,Vrouw,1,6460
Marokkaans,Man,2,Autochtoon,Vrouw,2,22810
Marokkaans,Man,2,Autochtoon,Vrouw,3,27940
Marokkaans,Man,2,Marokkaans,Man,1,14590
Marokkaans,Man,2,Marokkaans,Man,2,23390
Marokkaans,Man,2,Marokkaans,Man,3,3710
Marokkaans,Man,2,Marokkaans,Vrouw,1,8410
Marokkaans,Man,2,Marokkaans,Vrouw,2,11890
Marokkaans,Man,2,Marokkaans,Vrouw,3,3500
Marokkaans,Man,2,Overig,Man,1,12360
Marokkaans,Man,2,Overig,Man,2,27830
Marokkaans,Man,2,Overig,Man,3,18140
Marokkaans,Man,2,Overig,Vrouw,1,8190
Marokkaans,Man,2,Overig,Vrouw,2,17660
Marokkaans,Man,2,Overig,Vrouw,3,12540
Marokkaans,Man,2,Surinaams,Man,1,7130
Marokkaans,Man,2,Surinaams,Man,2,13750
Marokkaans,Man,2,Surinaams,Man,3,2200
Marokkaans,Man,2,Surinaams,Vrouw,1,4070
Marokkaans,Man,2,Surinaams,Vrouw,2,9220
Marokkaans,Man,2,Surinaams,Vrouw,3,3310
Marokkaans,Man,2,Turks,Man,1,7270
Marokkaans,Man,2,Turks,Man,2,12820
Marokkaans,Man,2,Turks,Man,3,2500
Marokkaans,Man,2,Turks,Vrouw,1,4110
Marokkaans,Man,2,Turks,Vrouw,2,5200
Marokkaans,Man,2,Turks,Vrouw,3,1280
Marokkaans,Man,3,Autochtoon,Man,1,2200
Marokkaans,Man,3,Autochtoon,Man,2,8160
Marokkaans,Man,3,Autochtoon,Man,3,23510
Marokkaans,Man,3,Autochtoon,Vrouw,1,1450
Marokkaans,Man,3,Autochtoon,Vrouw,2,6370
Marokkaans,Man,3,Autochtoon,Vrouw,3,24020
Marokkaans,Man,3,Marokkaans,Man,1,2620
Marokkaans,Man,3,Marokkaans,Man,2,3730
Marokkaans,Man,3,Marokkaans,Man,3,2460
Marokkaans,Man,3,Marokkaans,Vrouw,1,1770
Marokkaans,Man,3,Marokkaans,Vrouw,2,3280
Marokkaans,Man,3,Marokkaans,Vrouw,3,3700
Marokkaans,Man,3,Overig,Man,1,2100
Marokkaans,Man,3,Overig,Man,2,3730
Marokkaans,Man,3,Overig,Man,3,9910
Marokkaans,Man,3,Overig,Vrouw,1,1630
Marokkaans,Man,3,Overig,Vrouw,2,4360
Marokkaans,Man,3,Overig,Vrouw,3,10110
Marokkaans,Man,3,Surinaams,Man,1,1280
Marokkaans,Man,3,Surinaams,Man,2,2610
Marokkaans,Man,3,Surinaams,Man,3,1320
Marokkaans,Man,3,Surinaams,Vrouw,1,840
Marokkaans,Man,3,Surinaams,Vrouw,2,2890
Marokkaans,Man,3,Surinaams,Vrouw,3,2420
Marokkaans,Man,3,Turks,Man,1,1600
Marokkaans,Man,3,Turks,Man,2,1920
Marokkaans,Man,3,Turks,Man,3,1490
Marokkaans,Man,3,Turks,Vrouw,1,670
Marokkaans,Man,3,Turks,Vrouw,2,1420
Marokkaans,Man,3,Turks,Vrouw,3,1590
Marokkaans,Vrouw,1,Autochtoon,Man,1,57110
Marokkaans,Vrouw,1,Autochtoon,Man,2,9220
Marokkaans,Vrouw,1,Autochtoon,Man,3,9590
Marokkaans,Vrouw,1,Autochtoon,Vrouw,1,59110
Marokkaans,Vrouw,1,Autochtoon,Vrouw,2,13800
Marokkaans,Vrouw,1,Autochtoon,Vrouw,3,14380
Marokkaans,Vrouw,1,Marokkaans,Man,1,90350
Marokkaans,Vrouw,1,Marokkaans,Man,2,8290
Marokkaans,Vrouw,1,Marokkaans,Man,3,1740
Marokkaans,Vrouw,1,Marokkaans,Vrouw,1,107430
Marokkaans,Vrouw,1,Marokkaans,Vrouw,2,21060
Marokkaans,Vrouw,1,Marokkaans,Vrouw,3,2330
Marokkaans,Vrouw,1,Overig,Man,1,60940
Marokkaans,Vrouw,1,Overig,Man,2,6360
Marokkaans,Vrouw,1,Overig,Man,3,14010
Marokkaans,Vrouw,1,Overig,Vrouw,1,71850
Marokkaans,Vrouw,1,Overig,Vrouw,2,13970
Marokkaans,Vrouw,1,Overig,Vrouw,3,6190
Marokkaans,Vrouw,1,Surinaams,Man,1,16200
Marokkaans,Vrouw,1,Surinaams,Man,2,2960
Marokkaans,Vrouw,1,Surinaams,Man,3,720
Marokkaans,Vrouw,1,Surinaams,Vrouw,1,22540
Marokkaans,Vrouw,1,Surinaams,Vrouw,2,7570
Marokkaans,Vrouw,1,Surinaams,Vrouw,3,1420
Marokkaans,Vrouw,1,Turks,Man,1,34040
Marokkaans,Vrouw,1,Turks,Man,2,5060
Marokkaans,Vrouw,1,Turks,Man,3,390
Marokkaans,Vrouw,1,Turks,Vrouw,1,45480
Marokkaans,Vrouw,1,Turks,Vrouw,2,7520
Marokkaans,Vrouw,1,Turks,Vrouw,3,780
Marokkaans,Vrouw,2,Autochtoon,Man,1,7220
Marokkaans,Vrouw,2,Autochtoon,Man,2,24460
Marokkaans,Vrouw,2,Autochtoon,Man,3,26160
Marokkaans,Vrouw,2,Autochtoon,Vrouw,1,11970
Marokkaans,Vrouw,2,Autochtoon,Vrouw,2,46500
Marokkaans,Vrouw,2,Autochtoon,Vrouw,3,46430
Marokkaans,Vrouw,2,Marokkaans,Man,1,14390
Marokkaans,Vrouw,2,Marokkaans,Man,2,12100
Marokkaans,Vrouw,2,Marokkaans,Man,3,3190
Marokkaans,Vrouw,2,Marokkaans,Vrouw,1,20950
Marokkaans,Vrouw,2,Marokkaans,Vrouw,2,39310
Marokkaans,Vrouw,2,Marokkaans,Vrouw,3,7080
Marokkaans,Vrouw,2,Overig,Man,1,10380
Marokkaans,Vrouw,2,Overig,Man,2,17010
Marokkaans,Vrouw,2,Overig,Man,3,14990
