geslacht_src,lft_src,etngrp_src,geslacht_dst,lft_dst,etngrp_dst,n
Man,"[0,20)",Marokkaans,Vrouw,"[60,70)",Autochtoon,20
Man,"[0,20)",Marokkaans,Vrouw,"[60,70)",Marokkaans,4290
Man,"[0,20)",Marokkaans,Vrouw,"[60,70)",Overig,20
Man,"[0,20)",Marokkaans,Vrouw,"[70,80)",Marokkaans,2840
Man,"[0,20)",Marokkaans,Vrouw,"[80,120]",Marokkaans,10
Man,"[0,20)",Overig,Man,"[0,20)",Autochtoon,2240
Man,"[0,20)",Overig,Man,"[0,20)",Marokkaans,940
Man,"[0,20)",Overig,Man,"[0,20)",Overig,598210
Man,"[0,20)",Overig,Man,"[0,20)",Surinaams,440
Man,"[0,20)",Overig,Man,"[0,20)",Turks,250
Man,"[0,20)",Overig,Man,"[20,30)",Autochtoon,1740
Man,"[0,20)",Overig,Man,"[20,30)",Marokkaans,410
Man,"[0,20)",Overig,Man,"[20,30)",Overig,4630
Man,"[0,20)",Overig,Man,"[20,30)",Surinaams,330
Man,"[0,20)",Overig,Man,"[20,30)",Turks,160
Man,"[0,20)",Overig,Man,"[30,40)",Autochtoon,1700
Man,"[0,20)",Overig,Man,"[30,40)",Marokkaans,370
Man,"[0,20)",Overig,Man,"[30,40)",Overig,7650
Man,"[0,20)",Overig,Man,"[30,40)",Surinaams,360
Man,"[0,20)",Overig,Man,"[30,40)",Turks,170
Man,"[0,20)",Overig,Man,"[40,50)",Autochtoon,2610
Man,"[0,20)",Overig,Man,"[40,50)",Marokkaans,320
Man,"[0,20)",Overig,Man,"[40,50)",Overig,6750
Man,"[0,20)",Overig,Man,"[40,50)",Surinaams,300
Man,"[0,20)",Overig,Man,"[40,50)",Turks,220
Man,"[0,20)",Overig,Man,"[50,60)",Autochtoon,2710
Man,"[0,20)",Overig,Man,"[50,60)",Marokkaans,210
Man,"[0,20)",Overig,Man,"[50,60)",Overig,24880
Man,"[0,20)",Overig,Man,"[50,60)",Surinaams,330
Man,"[0,20)",Overig,Man,"[50,60)",Turks,70
Man,"[0,20)",Overig,Man,"[60,70)",Autochtoon,730
Man,"[0,20)",Overig,Man,"[60,70)",Marokkaans,170
Man,"[0,20)",Overig,Man,"[60,70)",Overig,1250
Man,"[0,20)",Overig,Man,"[60,70)",Surinaams,120
Man,"[0,20)",Overig,Man,"[60,70)",Turks,20
Man,"[0,20)",Overig,Man,"[70,80)",Autochtoon,720
Man,"[0,20)",Overig,Man,"[70,80)",Marokkaans,30
Man,"[0,20)",Overig,Man,"[70,80)",Overig,490
Man,"[0,20)",Overig,Man,"[70,80)",Turks,70
Man,"[0,20)",Overig,Vrouw,"[0,20)",Autochtoon,2320
Man,"[0,20)",Overig,Vrouw,"[0,20)",Marokkaans,810
Man,"[0,20)",Overig,Vrouw,"[0,20)",Overig,17540
Man,"[0,20)",Overig,Vrouw,"[0,20)",Surinaams,440
Man,"[0,20)",Overig,Vrouw,"[0,20)",Turks,220
Man,"[0,20)",Overig,Vrouw,"[20,30)",Autochtoon,1800
Man,"[0,20)",Overig,Vrouw,"[20,30)",Marokkaans,370
Man,"[0,20)",Overig,Vrouw,"[20,30)",Overig,5970
Man,"[0,20)",Overig,Vrouw,"[20,30)",Surinaams,330
Man,"[0,20)",Overig,Vrouw,"[20,30)",Turks,120
Man,"[0,20)",Overig,Vrouw,"[30,40)",Autochtoon,1940
Man,"[0,20)",Overig,Vrouw,"[30,40)",Marokkaans,380
Man,"[0,20)",Overig,Vrouw,"[30,40)",Overig,11340
Man,"[0,20)",Overig,Vrouw,"[30,40)",Surinaams,420
Man,"[0,20)",Overig,Vrouw,"[30,40)",Turks,130
Man,"[0,20)",Overig,Vrouw,"[40,50)",Autochtoon,2370
Man,"[0,20)",Overig,Vrouw,"[40,50)",Marokkaans,200
Man,"[0,20)",Overig,Vrouw,"[40,50)",Overig,14000
Man,"[0,20)",Overig,Vrouw,"[40,50)",Surinaams,310
Man,"[0,20)",Overig,Vrouw,"[40,50)",Turks,130
Man,"[0,20)",Overig,Vrouw,"[50,60)",Autochtoon,16240
Man,"[0,20)",Overig,Vrouw,"[50,60)",Marokkaans,110
Man,"[0,20)",Overig,Vrouw,"[50,60)",Overig,54210
Man,"[0,20)",Overig,Vrouw,"[50,60)",Surinaams,240
Man,"[0,20)",Overig,Vrouw,"[50,60)",Turks,50
Man,"[0,20)",Overig,Vrouw,"[60,70)",Autochtoon,640
Man,"[0,20)",Overig,Vrouw,"[60,70)",Marokkaans,140
Man,"[0,20)",Overig,Vrouw,"[60,70)",Overig,1260
Man,"[0,20)",Overig,Vrouw,"[60,70)",Surinaams,160
Man,"[0,20)",Overig,Vrouw,"[60,70)",Turks,80
Man,"[0,20)",Overig,Vrouw,"[70,80)",Autochtoon,570
Man,"[0,20)",Overig,Vrouw,"[70,80)",Marokkaans,100
Man,"[0,20)",Overig,Vrouw,"[70,80)",Overig,570
Man,"[0,20)",Overig,Vrouw,"[70,80)",Surinaams,10
Man,"[0,20)",Surinaams,Man,"[0,20)",Autochtoon,1590
Man,"[0,20)",Surinaams,Man,"[0,20)",Marokkaans,50
Man,"[0,20)",Surinaams,Man,"[0,20)",Overig,440
Man,"[0,20)",Surinaams,Man,"[0,20)",Surinaams,6700
Man,"[0,20)",Surinaams,Man,"[20,30)",Autochtoon,190
Man,"[0,20)",Surinaams,Man,"[20,30)",Marokkaans,10
Man,"[0,20)",Surinaams,Man,"[20,30)",Overig,160
Man,"[0,20)",Surinaams,Man,"[20,30)",Surinaams,3400
Man,"[0,20)",Surinaams,Man,"[30,40)",Autochtoon,110
Man,"[0,20)",Surinaams,Man,"[30,40)",Overig,210
Man,"[0,20)",Surinaams,Man,"[30,40)",Surinaams,2480
Man,"[0,20)",Surinaams,Man,"[40,50)",Autochtoon,140
Man,"[0,20)",Surinaams,Man,"[40,50)",Overig,390
Man,"[0,20)",Surinaams,Man,"[40,50)",Surinaams,2650
Man,"[0,20)",Surinaams,Man,"[50,60)",Autochtoon,130
Man,"[0,20)",Surinaams,Man,"[50,60)",Overig,110
Man,"[0,20)",Surinaams,Man,"[50,60)",Surinaams,1990
Man,"[0,20)",Surinaams,Man,"[60,70)",Autochtoon,120
Man,"[0,20)",Surinaams,Man,"[60,70)",Overig,70
Man,"[0,20)",Surinaams,Man,"[60,70)",Surinaams,1180
Man,"[0,20)",Surinaams,Man,"[70,80)",Surinaams,270
Man,"[0,20)",Surinaams,Vrouw,"[0,20)",Autochtoon,1460
Man,"[0,20)",Surinaams,Vrouw,"[0,20)",Marokkaans,60
Man,"[0,20)",Surinaams,Vrouw,"[0,20)",Overig,360
Man,"[0,20)",Surinaams,Vrouw,"[0,20)",Surinaams,6420
Man,"[0,20)",Surinaams,Vrouw,"[20,30)",Autochtoon,210
Man,"[0,20)",Surinaams,Vrouw,"[20,30)",Marokkaans,20
Man,"[0,20)",Surinaams,Vrouw,"[20,30)",Overig,180
Man,"[0,20)",Surinaams,Vrouw,"[20,30)",Surinaams,3580
Man,"[0,20)",Surinaams,Vrouw,"[30,40)",Autochtoon,190
Man,"[0,20)",Surinaams,Vrouw,"[30,40)",Overig,160
Man,"[0,20)",Surinaams,Vrouw,"[30,40)",Surinaams,3910
Man,"[0,20)",Surinaams,Vrouw,"[40,50)",Autochtoon,290
Man,"[0,20)",Surinaams,Vrouw,"[40,50)",Overig,130
Man,"[0,20)",Surinaams,Vrouw,"[40,50)",Surinaams,4060
Man,"[0,20)",Surinaams,Vrouw,"[50,60)",Autochtoon,170
Man,"[0,20)",Surinaams,Vrouw,"[50,60)",Overig,60
Man,"[0,20)",Surinaams,Vrouw,"[50,60)",Surinaams,2730
Man,"[0,20)",Surinaams,Vrouw,"[60,70)",Autochtoon,90
Man,"[0,20)",Surinaams,Vrouw,"[60,70)",Overig,70
Man,"[0,20)",Surinaams,Vrouw,"[60,70)",Surinaams,1530
Man,"[0,20)",Surinaams,Vrouw,"[70,80)",Autochtoon,210
Man,"[0,20)",Surinaams,Vrouw,"[70,80)",Surinaams,700
Man,"[0,20)",Turks,Man,"[0,20)",Autochtoon,1190
Man,"[0,20)",Turks,Man,"[0,20)",Marokkaans,100
Man,"[0,20)",Turks,Man,"[0,20)",Overig,250
Man,"[0,20)",Turks,Man,"[0,20)",Turks,11190
Man,"[0,20)",Turks,Man,"[20,30)",Marokkaans,40
Man,"[0,20)",Turks,Man,"[20,30)",Overig,20
Man,"[0,20)",Turks,Man,"[20,30)",Turks,5050
Man,"[0,20)",Turks,Man,"[30,40)",Autochtoon,20
Man,"[0,20)",Turks,Man,"[30,40)",Overig,10
Man,"[0,20)",Turks,Man,"[30,40)",Turks,5770
