geslacht_src,lft_src,geslacht_dst,lft_dst,n
Vrouw,"[40,50)",Vrouw,"[40,50)",236400
Vrouw,"[40,50)",Vrouw,"[50,60)",229590
Vrouw,"[40,50)",Vrouw,"[60,70)",93450
Vrouw,"[40,50)",Vrouw,"[70,80)",400
Vrouw,"[50,60)",Man,"[0,20)",13700
Vrouw,"[50,60)",Man,"[20,30)",106280
Vrouw,"[50,60)",Man,"[30,40)",164520
Vrouw,"[50,60)",Man,"[40,50)",144500
Vrouw,"[50,60)",Man,"[50,60)",180210
Vrouw,"[50,60)",Man,"[60,70)",85420
Vrouw,"[50,60)",Man,"[70,80)",1110
Vrouw,"[50,60)",Vrouw,"[0,20)",23900
Vrouw,"[50,60)",Vrouw,"[20,30)",207620
Vrouw,"[50,60)",Vrouw,"[30,40)",256260
Vrouw,"[50,60)",Vrouw,"[40,50)",232890
Vrouw,"[50,60)",Vrouw,"[50,60)",268400
Vrouw,"[50,60)",Vrouw,"[60,70)",113100
Vrouw,"[50,60)",Vrouw,"[70,80)",630
Vrouw,"[60,70)",Man,"[0,20)",3440
Vrouw,"[60,70)",Man,"[20,30)",36490
Vrouw,"[60,70)",Man,"[30,40)",55250
Vrouw,"[60,70)",Man,"[40,50)",52680
Vrouw,"[60,70)",Man,"[50,60)",70670
Vrouw,"[60,70)",Man,"[60,70)",37980
Vrouw,"[60,70)",Man,"[70,80)",1450
Vrouw,"[60,70)",Vrouw,"[0,20)",6560
Vrouw,"[60,70)",Vrouw,"[20,30)",81240
Vrouw,"[60,70)",Vrouw,"[30,40)",101610
Vrouw,"[60,70)",Vrouw,"[40,50)",91010
Vrouw,"[60,70)",Vrouw,"[50,60)",114010
Vrouw,"[60,70)",Vrouw,"[60,70)",51110
Vrouw,"[60,70)",Vrouw,"[70,80)",360
Vrouw,"[70,80)",Man,"[0,20)",10
Vrouw,"[70,80)",Man,"[20,30)",650
Vrouw,"[70,80)",Man,"[30,40)",100
Vrouw,"[70,80)",Man,"[40,50)",130
Vrouw,"[70,80)",Man,"[50,60)",230
Vrouw,"[70,80)",Man,"[60,70)",690
Vrouw,"[70,80)",Man,"[70,80)",510
Vrouw,"[70,80)",Vrouw,"[20,30)",1150
Vrouw,"[70,80)",Vrouw,"[30,40)",620
Vrouw,"[70,80)",Vrouw,"[40,50)",440
Vrouw,"[70,80)",Vrouw,"[50,60)",570
Vrouw,"[70,80)",Vrouw,"[60,70)",430
Vrouw,"[70,80)",Vrouw,"[70,80)",50
