geslacht_src,lft_src,etngrp_src,geslacht_dst,lft_dst,etngrp_dst,n
Man,"[0,20)",Overig,Vrouw,"[40,50)",Surinaams,4140
Man,"[0,20)",Overig,Vrouw,"[40,50)",Turks,2330
Man,"[0,20)",Overig,Vrouw,"[50,60)",Autochtoon,17080
Man,"[0,20)",Overig,Vrouw,"[50,60)",Marokkaans,2380
Man,"[0,20)",Overig,Vrouw,"[50,60)",Overig,11000
Man,"[0,20)",Overig,Vrouw,"[50,60)",Surinaams,5260
Man,"[0,20)",Overig,Vrouw,"[50,60)",Turks,1390
Man,"[0,20)",Overig,Vrouw,"[60,70)",Autochtoon,12040
Man,"[0,20)",Overig,Vrouw,"[60,70)",Marokkaans,1280
Man,"[0,20)",Overig,Vrouw,"[60,70)",Overig,6480
Man,"[0,20)",Overig,Vrouw,"[60,70)",Surinaams,3150
Man,"[0,20)",Overig,Vrouw,"[60,70)",Turks,790
Man,"[0,20)",Overig,Vrouw,"[70,80)",Autochtoon,9450
Man,"[0,20)",Overig,Vrouw,"[70,80)",Marokkaans,380
Man,"[0,20)",Overig,Vrouw,"[70,80)",Overig,4230
Man,"[0,20)",Overig,Vrouw,"[70,80)",Surinaams,1540
Man,"[0,20)",Overig,Vrouw,"[70,80)",Turks,600
Man,"[0,20)",Overig,Vrouw,"[80,120]",Autochtoon,4370
Man,"[0,20)",Overig,Vrouw,"[80,120]",Overig,260
Man,"[0,20)",Overig,Vrouw,"[80,120]",Surinaams,200
Man,"[0,20)",Surinaams,Man,"[0,20)",Autochtoon,4660
Man,"[0,20)",Surinaams,Man,"[0,20)",Marokkaans,2730
Man,"[0,20)",Surinaams,Man,"[0,20)",Overig,6040
Man,"[0,20)",Surinaams,Man,"[0,20)",Surinaams,3270
Man,"[0,20)",Surinaams,Man,"[0,20)",Turks,1170
Man,"[0,20)",Surinaams,Man,"[20,30)",Autochtoon,2170
Man,"[0,20)",Surinaams,Man,"[20,30)",Marokkaans,840
Man,"[0,20)",Surinaams,Man,"[20,30)",Overig,4800
Man,"[0,20)",Surinaams,Man,"[20,30)",Surinaams,2050
Man,"[0,20)",Surinaams,Man,"[20,30)",Turks,520
Man,"[0,20)",Surinaams,Man,"[30,40)",Autochtoon,2150
Man,"[0,20)",Surinaams,Man,"[30,40)",Marokkaans,820
Man,"[0,20)",Surinaams,Man,"[30,40)",Overig,2670
Man,"[0,20)",Surinaams,Man,"[30,40)",Surinaams,2030
Man,"[0,20)",Surinaams,Man,"[30,40)",Turks,490
Man,"[0,20)",Surinaams,Man,"[40,50)",Autochtoon,2180
Man,"[0,20)",Surinaams,Man,"[40,50)",Marokkaans,1600
