lft_src,oplniv_src,lft_dst,oplniv_dst,n
"[60,70)",1,"[70,80)",3,90
"[60,70)",2,"[0,20)",1,4690
"[60,70)",2,"[0,20)",2,2240
"[60,70)",2,"[20,30)",1,4270
"[60,70)",2,"[20,30)",2,33960
"[60,70)",2,"[20,30)",3,37720
"[60,70)",2,"[30,40)",1,9010
"[60,70)",2,"[30,40)",2,26580
"[60,70)",2,"[30,40)",3,51190
"[60,70)",2,"[40,50)",1,17610
"[60,70)",2,"[40,50)",2,37550
"[60,70)",2,"[40,50)",3,38320
"[60,70)",2,"[50,60)",1,26980
"[60,70)",2,"[50,60)",2,44630
"[60,70)",2,"[50,60)",3,41630
"[60,70)",2,"[60,70)",1,14180
"[60,70)",2,"[60,70)",2,18500
"[60,70)",2,"[60,70)",3,21360
"[60,70)",2,"[70,80)",1,290
"[60,70)",2,"[70,80)",2,490
"[60,70)",2,"[70,80)",3,450
"[60,70)",3,"[0,20)",1,3200
"[60,70)",3,"[0,20)",2,1630
"[60,70)",3,"[20,30)",1,2620
"[60,70)",3,"[20,30)",2,32000
"[60,70)",3,"[20,30)",3,84750
"[60,70)",3,"[30,40)",1,6170
"[60,70)",3,"[30,40)",2,23900
"[60,70)",3,"[30,40)",3,129270
"[60,70)",3,"[40,50)",1,9740
"[60,70)",3,"[40,50)",2,32470
"[60,70)",3,"[40,50)",3,100430
"[60,70)",3,"[50,60)",1,16510
"[60,70)",3,"[50,60)",2,49360
"[60,70)",3,"[50,60)",3,110340
"[60,70)",3,"[60,70)",1,9720
"[60,70)",3,"[60,70)",2,19910
"[60,70)",3,"[60,70)",3,61060
"[60,70)",3,"[70,80)",1,390
"[60,70)",3,"[70,80)",2,350
"[60,70)",3,"[70,80)",3,1350
"[70,80)",1,"[0,20)",1,60
"[70,80)",1,"[20,30)",1,40
"[70,80)",1,"[20,30)",2,460
"[70,80)",1,"[20,30)",3,170
"[70,80)",1,"[30,40)",1,150
"[70,80)",1,"[30,40)",2,290
"[70,80)",1,"[30,40)",3,160
"[70,80)",1,"[40,50)",1,70
"[70,80)",1,"[40,50)",2,200
"[70,80)",1,"[40,50)",3,60
"[70,80)",1,"[50,60)",1,290
"[70,80)",1,"[50,60)",2,630
"[70,80)",1,"[50,60)",3,210
"[70,80)",1,"[60,70)",1,390
"[70,80)",1,"[60,70)",2,190
"[70,80)",1,"[60,70)",3,550
"[70,80)",1,"[70,80)",1,90
"[70,80)",1,"[70,80)",2,150
"[70,80)",1,"[70,80)",3,720
"[70,80)",2,"[0,20)",1,20
"[70,80)",2,"[0,20)",2,10
"[70,80)",2,"[20,30)",1,20
"[70,80)",2,"[20,30)",2,1010
"[70,80)",2,"[20,30)",3,620
"[70,80)",2,"[30,40)",2,300
"[70,80)",2,"[30,40)",3,460
"[70,80)",2,"[40,50)",1,150
"[70,80)",2,"[40,50)",2,180
"[70,80)",2,"[40,50)",3,290
"[70,80)",2,"[50,60)",1,130
"[70,80)",2,"[50,60)",2,380
"[70,80)",2,"[50,60)",3,300
"[70,80)",2,"[60,70)",1,320
"[70,80)",2,"[60,70)",2,1090
"[70,80)",2,"[60,70)",3,340
"[70,80)",2,"[70,80)",1,150
"[70,80)",2,"[70,80)",2,620
"[70,80)",2,"[70,80)",3,250
"[70,80)",3,"[0,20)",1,10
"[70,80)",3,"[20,30)",2,1080
"[70,80)",3,"[20,30)",3,1270
"[70,80)",3,"[30,40)",2,560
"[70,80)",3,"[30,40)",3,1280
"[70,80)",3,"[40,50)",1,20
"[70,80)",3,"[40,50)",2,610
"[70,80)",3,"[40,50)",3,870
"[70,80)",3,"[50,60)",1,70
"[70,80)",3,"[50,60)",2,460
"[70,80)",3,"[50,60)",3,660
"[70,80)",3,"[60,70)",1,260
"[70,80)",3,"[60,70)",2,400
"[70,80)",3,"[60,70)",3,1750
"[70,80)",3,"[70,80)",1,790
"[70,80)",3,"[70,80)",2,300
"[70,80)",3,"[70,80)",3,670
