geslacht,lft,etngrp,oplniv,n
Man,"[70,80)",Overig,1,1326
Man,"[70,80)",Overig,2,1082
Man,"[70,80)",Overig,3,2290
Man,"[70,80)",Surinaams,1,911
Man,"[70,80)",Surinaams,2,425
Man,"[70,80)",Surinaams,3,162
Man,"[70,80)",Turks,1,587
Man,"[70,80)",Turks,2,6
Man,"[70,80)",Turks,3,6
Man,"[80,120]",Autochtoon,1,2163
Man,"[80,120]",Autochtoon,2,2977
Man,"[80,120]",Autochtoon,3,859
Man,"[80,120]",Marokkaans,1,600
Man,"[80,120]",Marokkaans,2,0
Man,"[80,120]",Marokkaans,3,0
Man,"[80,120]",Overig,1,126
Man,"[80,120]",Overig,2,170
Man,"[80,120]",Overig,3,1202
Man,"[80,120]",Surinaams,1,0
Man,"[80,120]",Surinaams,2,0
Man,"[80,120]",Surinaams,3,0
Man,"[80,120]",Turks,1,200
Man,"[80,120]",Turks,2,0
Man,"[80,120]",Turks,3,0
Vrouw,"[0,20)",Autochtoon,1,29308
Vrouw,"[0,20)",Autochtoon,2,2383
Vrouw,"[0,20)",Autochtoon,3,7
Vrouw,"[0,20)",Marokkaans,1,11509
Vrouw,"[0,20)",Marokkaans,2,789
Vrouw,"[0,20)",Marokkaans,3,0
Vrouw,"[0,20)",Overig,1,24600
Vrouw,"[0,20)",Overig,2,1791
Vrouw,"[0,20)",Overig,3,7
Vrouw,"[0,20)",Surinaams,1,5056
Vrouw,"[0,20)",Surinaams,2,443
Vrouw,"[0,20)",Surinaams,3,0
Vrouw,"[0,20)",Turks,1,5047
Vrouw,"[0,20)",Turks,2,352
Vrouw,"[0,20)",Turks,3,0
Vrouw,"[20,30)",Autochtoon,1,1388
Vrouw,"[20,30)",Autochtoon,2,14264
Vrouw,"[20,30)",Autochtoon,3,24846
Vrouw,"[20,30)",Marokkaans,1,588
Vrouw,"[20,30)",Marokkaans,2,4233
Vrouw,"[20,30)",Marokkaans,3,1178
Vrouw,"[20,30)",Overig,1,3870
Vrouw,"[20,30)",Overig,2,15730
Vrouw,"[20,30)",Overig,3,13299
Vrouw,"[20,30)",Surinaams,1,695
Vrouw,"[20,30)",Surinaams,2,3281
Vrouw,"[20,30)",Surinaams,3,1022
Vrouw,"[20,30)",Turks,1,1261
Vrouw,"[20,30)",Turks,2,1871
Vrouw,"[20,30)",Turks,3,566
Vrouw,"[30,40)",Autochtoon,1,2066
Vrouw,"[30,40)",Autochtoon,2,4674
Vrouw,"[30,40)",Autochtoon,3,23059
Vrouw,"[30,40)",Marokkaans,1,2313
Vrouw,"[30,40)",Marokkaans,2,2479
Vrouw,"[30,40)",Marokkaans,3,1806
Vrouw,"[30,40)",Overig,1,2278
Vrouw,"[30,40)",Overig,2,9266
Vrouw,"[30,40)",Overig,3,19555
Vrouw,"[30,40)",Surinaams,1,789
Vrouw,"[30,40)",Surinaams,2,2625
Vrouw,"[30,40)",Surinaams,3,1784
Vrouw,"[30,40)",Turks,1,1395
Vrouw,"[30,40)",Turks,2,1626
Vrouw,"[30,40)",Turks,3,1077
Vrouw,"[40,50)",Autochtoon,1,2289
Vrouw,"[40,50)",Autochtoon,2,6148
Vrouw,"[40,50)",Autochtoon,3,14161
Vrouw,"[40,50)",Marokkaans,1,2555
Vrouw,"[40,50)",Marokkaans,2,2068
Vrouw,"[40,50)",Marokkaans,3,875
Vrouw,"[40,50)",Overig,1,3490
Vrouw,"[40,50)",Overig,2,5060
Vrouw,"[40,50)",Overig,3,11049
Vrouw,"[40,50)",Surinaams,1,1191
Vrouw,"[40,50)",Surinaams,2,2483
Vrouw,"[40,50)",Surinaams,3,1324
Vrouw,"[40,50)",Turks,1,2005
