lft_src,etngrp_src,lft_dst,etngrp_dst,n
"[20,30)",Turks,"[20,30)",Overig,70
"[20,30)",Turks,"[20,30)",Turks,14590
"[20,30)",Turks,"[30,40)",Overig,10
"[20,30)",Turks,"[30,40)",Turks,9530
"[20,30)",Turks,"[40,50)",Turks,17330
"[20,30)",Turks,"[50,60)",Autochtoon,70
"[20,30)",Turks,"[50,60)",Turks,9470
"[20,30)",Turks,"[60,70)",Turks,1670
"[20,30)",Turks,"[70,80)",Turks,1380
"[30,40)",Autochtoon,"[0,20)",Autochtoon,40430
"[30,40)",Autochtoon,"[0,20)",Marokkaans,270
"[30,40)",Autochtoon,"[0,20)",Overig,7200
"[30,40)",Autochtoon,"[0,20)",Surinaams,580
"[30,40)",Autochtoon,"[0,20)",Turks,100
"[30,40)",Autochtoon,"[20,30)",Autochtoon,30230
"[30,40)",Autochtoon,"[20,30)",Overig,2440
"[30,40)",Autochtoon,"[20,30)",Surinaams,250
"[30,40)",Autochtoon,"[30,40)",Autochtoon,56760
"[30,40)",Autochtoon,"[30,40)",Marokkaans,200
"[30,40)",Autochtoon,"[30,40)",Overig,6820
"[30,40)",Autochtoon,"[30,40)",Surinaams,650
"[30,40)",Autochtoon,"[30,40)",Turks,60
"[30,40)",Autochtoon,"[40,50)",Autochtoon,18700
"[30,40)",Autochtoon,"[40,50)",Marokkaans,10
"[30,40)",Autochtoon,"[40,50)",Overig,4360
"[30,40)",Autochtoon,"[40,50)",Surinaams,140
"[30,40)",Autochtoon,"[40,50)",Turks,10
"[30,40)",Autochtoon,"[50,60)",Autochtoon,14150
"[30,40)",Autochtoon,"[50,60)",Overig,1260
"[30,40)",Autochtoon,"[60,70)",Autochtoon,23510
"[30,40)",Autochtoon,"[60,70)",Overig,2310
"[30,40)",Autochtoon,"[70,80)",Autochtoon,9230
"[30,40)",Autochtoon,"[70,80)",Overig,600
"[30,40)",Autochtoon,"[80,120]",Autochtoon,440
"[30,40)",Marokkaans,"[0,20)",Autochtoon,12070
"[30,40)",Marokkaans,"[0,20)",Marokkaans,59770
"[30,40)",Marokkaans,"[0,20)",Overig,1390
"[30,40)",Marokkaans,"[0,20)",Surinaams,30
"[30,40)",Marokkaans,"[0,20)",Turks,30
"[30,40)",Marokkaans,"[20,30)",Autochtoon,20
"[30,40)",Marokkaans,"[20,30)",Marokkaans,28950
"[30,40)",Marokkaans,"[20,30)",Overig,320
"[30,40)",Marokkaans,"[30,40)",Autochtoon,200
"[30,40)",Marokkaans,"[30,40)",Marokkaans,30900
"[30,40)",Marokkaans,"[30,40)",Overig,320
"[30,40)",Marokkaans,"[30,40)",Turks,50
"[30,40)",Marokkaans,"[40,50)",Autochtoon,10
"[30,40)",Marokkaans,"[40,50)",Marokkaans,21480
"[30,40)",Marokkaans,"[40,50)",Overig,10
"[30,40)",Marokkaans,"[40,50)",Turks,10
"[30,40)",Marokkaans,"[50,60)",Autochtoon,10
"[30,40)",Marokkaans,"[50,60)",Marokkaans,11020
"[30,40)",Marokkaans,"[60,70)",Marokkaans,13880
"[30,40)",Marokkaans,"[60,70)",Turks,10
"[30,40)",Marokkaans,"[70,80)",Marokkaans,3810
"[30,40)",Marokkaans,"[80,120]",Marokkaans,40
"[30,40)",Overig,"[0,20)",Autochtoon,9860
"[30,40)",Overig,"[0,20)",Marokkaans,570
"[30,40)",Overig,"[0,20)",Overig,36310
"[30,40)",Overig,"[0,20)",Surinaams,770
"[30,40)",Overig,"[0,20)",Turks,90
"[30,40)",Overig,"[20,30)",Autochtoon,2970
"[30,40)",Overig,"[20,30)",Marokkaans,180
"[30,40)",Overig,"[20,30)",Overig,26550
"[30,40)",Overig,"[20,30)",Surinaams,320
"[30,40)",Overig,"[20,30)",Turks,10
"[30,40)",Overig,"[30,40)",Autochtoon,6820
"[30,40)",Overig,"[30,40)",Marokkaans,320
"[30,40)",Overig,"[30,40)",Overig,363820
"[30,40)",Overig,"[30,40)",Surinaams,720
"[30,40)",Overig,"[30,40)",Turks,80
"[30,40)",Overig,"[40,50)",Autochtoon,3820
"[30,40)",Overig,"[40,50)",Marokkaans,70
"[30,40)",Overig,"[40,50)",Overig,14360
"[30,40)",Overig,"[40,50)",Surinaams,180
"[30,40)",Overig,"[50,60)",Autochtoon,1560
"[30,40)",Overig,"[50,60)",Overig,5560
"[30,40)",Overig,"[50,60)",Surinaams,170
"[30,40)",Overig,"[60,70)",Autochtoon,2840
"[30,40)",Overig,"[60,70)",Marokkaans,180
"[30,40)",Overig,"[60,70)",Overig,7010
"[30,40)",Overig,"[60,70)",Surinaams,50
"[30,40)",Overig,"[70,80)",Autochtoon,360
"[30,40)",Overig,"[70,80)",Overig,1710
"[30,40)",Surinaams,"[0,20)",Autochtoon,8630
"[30,40)",Surinaams,"[0,20)",Marokkaans,160
"[30,40)",Surinaams,"[0,20)",Overig,1500
"[30,40)",Surinaams,"[0,20)",Surinaams,12620
"[30,40)",Surinaams,"[20,30)",Autochtoon,740
"[30,40)",Surinaams,"[20,30)",Marokkaans,10
"[30,40)",Surinaams,"[20,30)",Overig,640
"[30,40)",Surinaams,"[20,30)",Surinaams,11770
"[30,40)",Surinaams,"[30,40)",Autochtoon,650
"[30,40)",Surinaams,"[30,40)",Overig,720
"[30,40)",Surinaams,"[30,40)",Surinaams,15100
"[30,40)",Surinaams,"[40,50)",Autochtoon,150
"[30,40)",Surinaams,"[40,50)",Overig,110
"[30,40)",Surinaams,"[40,50)",Surinaams,8100
"[30,40)",Surinaams,"[50,60)",Autochtoon,270
"[30,40)",Surinaams,"[50,60)",Overig,20
"[30,40)",Surinaams,"[50,60)",Surinaams,10100
"[30,40)",Surinaams,"[60,70)",Autochtoon,90
"[30,40)",Surinaams,"[60,70)",Overig,80
"[30,40)",Surinaams,"[60,70)",Surinaams,8390
"[30,40)",Surinaams,"[70,80)",Surinaams,2480
"[30,40)",Surinaams,"[80,120]",Surinaams,120
"[30,40)",Turks,"[0,20)",Autochtoon,4390
"[30,40)",Turks,"[0,20)",Marokkaans,110
"[30,40)",Turks,"[0,20)",Overig,590
"[30,40)",Turks,"[0,20)",Turks,22110
"[30,40)",Turks,"[20,30)",Marokkaans,50
"[30,40)",Turks,"[20,30)",Turks,9530
"[30,40)",Turks,"[30,40)",Autochtoon,60
"[30,40)",Turks,"[30,40)",Marokkaans,50
"[30,40)",Turks,"[30,40)",Overig,80
"[30,40)",Turks,"[30,40)",Turks,14400
"[30,40)",Turks,"[40,50)",Turks,6880
"[30,40)",Turks,"[50,60)",Turks,6890
"[30,40)",Turks,"[60,70)",Marokkaans,10
"[30,40)",Turks,"[60,70)",Turks,2960
"[30,40)",Turks,"[70,80)",Turks,2700
"[40,50)",Autochtoon,"[0,20)",Autochtoon,51750
"[40,50)",Autochtoon,"[0,20)",Marokkaans,360
"[40,50)",Autochtoon,"[0,20)",Overig,9660
"[40,50)",Autochtoon,"[0,20)",Surinaams,800
"[40,50)",Autochtoon,"[0,20)",Turks,350
"[40,50)",Autochtoon,"[20,30)",Autochtoon,10820
"[40,50)",Autochtoon,"[20,30)",Marokkaans,10
"[40,50)",Autochtoon,"[20,30)",Overig,1300
"[40,50)",Autochtoon,"[20,30)",Surinaams,210
"[40,50)",Autochtoon,"[30,40)",Autochtoon,18700
"[40,50)",Autochtoon,"[30,40)",Marokkaans,10
"[40,50)",Autochtoon,"[30,40)",Overig,3820
"[40,50)",Autochtoon,"[30,40)",Surinaams,150
"[40,50)",Autochtoon,"[40,50)",Autochtoon,41440
"[40,50)",Autochtoon,"[40,50)",Marokkaans,50
"[40,50)",Autochtoon,"[40,50)",Overig,6360
"[40,50)",Autochtoon,"[40,50)",Surinaams,2900
"[40,50)",Autochtoon,"[40,50)",Turks,40
"[40,50)",Autochtoon,"[50,60)",Autochtoon,23310
"[40,50)",Autochtoon,"[50,60)",Overig,2130
"[40,50)",Autochtoon,"[50,60)",Surinaams,130
