etngrp_src,lft_src,oplniv_src,etngrp_dst,lft_dst,oplniv_dst,n
Autochtoon,"[0,20)",2,Surinaams,"[30,40)",3,340
Autochtoon,"[0,20)",2,Surinaams,"[40,50)",1,240
Autochtoon,"[0,20)",2,Surinaams,"[40,50)",2,460
Autochtoon,"[0,20)",2,Surinaams,"[40,50)",3,140
Autochtoon,"[0,20)",2,Surinaams,"[50,60)",1,250
Autochtoon,"[0,20)",2,Surinaams,"[50,60)",2,640
Autochtoon,"[0,20)",2,Surinaams,"[50,60)",3,120
Autochtoon,"[0,20)",2,Surinaams,"[60,70)",1,30
Autochtoon,"[0,20)",2,Surinaams,"[60,70)",2,130
Autochtoon,"[0,20)",2,Surinaams,"[60,70)",3,40
Autochtoon,"[0,20)",2,Turks,"[0,20)",1,1520
Autochtoon,"[0,20)",2,Turks,"[0,20)",2,3310
Autochtoon,"[0,20)",2,Turks,"[0,20)",3,20
Autochtoon,"[0,20)",2,Turks,"[20,30)",1,270
Autochtoon,"[0,20)",2,Turks,"[20,30)",2,4440
Autochtoon,"[0,20)",2,Turks,"[20,30)",3,280
Autochtoon,"[0,20)",2,Turks,"[30,40)",1,140
Autochtoon,"[0,20)",2,Turks,"[30,40)",2,370
Autochtoon,"[0,20)",2,Turks,"[30,40)",3,130
Autochtoon,"[0,20)",2,Turks,"[40,50)",1,140
Autochtoon,"[0,20)",2,Turks,"[40,50)",2,130
Autochtoon,"[0,20)",2,Turks,"[40,50)",3,40
Autochtoon,"[0,20)",2,Turks,"[50,60)",1,70
Autochtoon,"[0,20)",2,Turks,"[50,60)",2,10
Autochtoon,"[0,20)",3,Autochtoon,"[0,20)",1,70
Autochtoon,"[0,20)",3,Autochtoon,"[0,20)",2,510
Autochtoon,"[0,20)",3,Autochtoon,"[20,30)",2,330
Autochtoon,"[0,20)",3,Autochtoon,"[20,30)",3,70
Autochtoon,"[0,20)",3,Marokkaans,"[0,20)",1,40
Autochtoon,"[0,20)",3,Marokkaans,"[0,20)",2,30
Autochtoon,"[0,20)",3,Overig,"[0,20)",1,70
Autochtoon,"[0,20)",3,Overig,"[0,20)",2,460
Autochtoon,"[0,20)",3,Overig,"[20,30)",2,320
Autochtoon,"[0,20)",3,Overig,"[20,30)",3,20
Autochtoon,"[0,20)",3,Surinaams,"[0,20)",1,40
Autochtoon,"[0,20)",3,Surinaams,"[0,20)",2,20
Autochtoon,"[0,20)",3,Surinaams,"[20,30)",2,30
Autochtoon,"[20,30)",1,Autochtoon,"[0,20)",1,3210
Autochtoon,"[20,30)",1,Autochtoon,"[0,20)",2,1330
Autochtoon,"[20,30)",1,Autochtoon,"[20,30)",1,1140
Autochtoon,"[20,30)",1,Autochtoon,"[20,30)",2,7740
Autochtoon,"[20,30)",1,Autochtoon,"[20,30)",3,6310
Autochtoon,"[20,30)",1,Autochtoon,"[30,40)",1,570
Autochtoon,"[20,30)",1,Autochtoon,"[30,40)",2,1900
Autochtoon,"[20,30)",1,Autochtoon,"[30,40)",3,4050
Autochtoon,"[20,30)",1,Autochtoon,"[40,50)",1,590
Autochtoon,"[20,30)",1,Autochtoon,"[40,50)",2,1610
Autochtoon,"[20,30)",1,Autochtoon,"[40,50)",3,1840
Autochtoon,"[20,30)",1,Autochtoon,"[50,60)",1,1100
Autochtoon,"[20,30)",1,Autochtoon,"[50,60)",2,1710
Autochtoon,"[20,30)",1,Autochtoon,"[50,60)",3,1620
Autochtoon,"[20,30)",1,Autochtoon,"[60,70)",1,630
Autochtoon,"[20,30)",1,Autochtoon,"[60,70)",2,680
Autochtoon,"[20,30)",1,Autochtoon,"[60,70)",3,560
Autochtoon,"[20,30)",1,Marokkaans,"[0,20)",1,2890
