lft_src,etngrp_src,lft_dst,etngrp_dst,n
"[20,30)",Marokkaans,"[20,30)",Surinaams,20560
"[20,30)",Marokkaans,"[20,30)",Turks,19600
"[20,30)",Marokkaans,"[30,40)",Autochtoon,35120
"[20,30)",Marokkaans,"[30,40)",Marokkaans,15230
"[20,30)",Marokkaans,"[30,40)",Overig,35400
"[20,30)",Marokkaans,"[30,40)",Surinaams,8720
"[20,30)",Marokkaans,"[30,40)",Turks,7610
"[20,30)",Marokkaans,"[40,50)",Autochtoon,23580
"[20,30)",Marokkaans,"[40,50)",Marokkaans,11430
"[20,30)",Marokkaans,"[40,50)",Overig,17350
"[20,30)",Marokkaans,"[40,50)",Surinaams,6590
"[20,30)",Marokkaans,"[40,50)",Turks,4440
"[20,30)",Marokkaans,"[50,60)",Autochtoon,25820
"[20,30)",Marokkaans,"[50,60)",Marokkaans,5740
"[20,30)",Marokkaans,"[50,60)",Overig,15060
"[20,30)",Marokkaans,"[50,60)",Surinaams,7400
"[20,30)",Marokkaans,"[50,60)",Turks,1920
"[20,30)",Marokkaans,"[60,70)",Autochtoon,13770
"[20,30)",Marokkaans,"[60,70)",Marokkaans,240
"[20,30)",Marokkaans,"[60,70)",Overig,4590
"[20,30)",Marokkaans,"[60,70)",Surinaams,3090
"[20,30)",Marokkaans,"[60,70)",Turks,40
"[20,30)",Marokkaans,"[70,80)",Autochtoon,80
"[20,30)",Marokkaans,"[70,80)",Overig,40
"[20,30)",Marokkaans,"[70,80)",Surinaams,20
"[20,30)",Overig,"[0,20)",Autochtoon,79450
"[20,30)",Overig,"[0,20)",Marokkaans,31310
"[20,30)",Overig,"[0,20)",Overig,82810
"[20,30)",Overig,"[0,20)",Surinaams,23040
"[20,30)",Overig,"[0,20)",Turks,17180
"[20,30)",Overig,"[20,30)",Autochtoon,563310
"[20,30)",Overig,"[20,30)",Marokkaans,51350
"[20,30)",Overig,"[20,30)",Overig,421680
"[20,30)",Overig,"[20,30)",Surinaams,69910
"[20,30)",Overig,"[20,30)",Turks,33210
"[20,30)",Overig,"[30,40)",Autochtoon,217900
"[20,30)",Overig,"[30,40)",Marokkaans,18490
"[20,30)",Overig,"[30,40)",Overig,288500
"[20,30)",Overig,"[30,40)",Surinaams,27330
"[20,30)",Overig,"[30,40)",Turks,16500
"[20,30)",Overig,"[40,50)",Autochtoon,104230
"[20,30)",Overig,"[40,50)",Marokkaans,9890
"[20,30)",Overig,"[40,50)",Overig,73140
"[20,30)",Overig,"[40,50)",Surinaams,16720
"[20,30)",Overig,"[40,50)",Turks,6740
"[20,30)",Overig,"[50,60)",Autochtoon,72330
"[20,30)",Overig,"[50,60)",Marokkaans,4000
"[20,30)",Overig,"[50,60)",Overig,46830
"[20,30)",Overig,"[50,60)",Surinaams,18420
"[20,30)",Overig,"[50,60)",Turks,3250
"[20,30)",Overig,"[60,70)",Autochtoon,39040
"[20,30)",Overig,"[60,70)",Marokkaans,760
"[20,30)",Overig,"[60,70)",Overig,13540
"[20,30)",Overig,"[60,70)",Surinaams,7040
"[20,30)",Overig,"[60,70)",Turks,80
"[20,30)",Overig,"[70,80)",Autochtoon,1040
"[20,30)",Overig,"[70,80)",Overig,250
"[20,30)",Overig,"[70,80)",Surinaams,40
"[20,30)",Surinaams,"[0,20)",Autochtoon,15230
"[20,30)",Surinaams,"[0,20)",Marokkaans,12120
"[20,30)",Surinaams,"[0,20)",Overig,20770
"[20,30)",Surinaams,"[0,20)",Surinaams,12200
"[20,30)",Surinaams,"[0,20)",Turks,4510
"[20,30)",Surinaams,"[20,30)",Autochtoon,90460
"[20,30)",Surinaams,"[20,30)",Marokkaans,21360
"[20,30)",Surinaams,"[20,30)",Overig,73980
"[20,30)",Surinaams,"[20,30)",Surinaams,33260
"[20,30)",Surinaams,"[20,30)",Turks,11110
"[20,30)",Surinaams,"[30,40)",Autochtoon,31900
"[20,30)",Surinaams,"[30,40)",Marokkaans,6970
"[20,30)",Surinaams,"[30,40)",Overig,33560
"[20,30)",Surinaams,"[30,40)",Surinaams,16560
"[20,30)",Surinaams,"[30,40)",Turks,3320
"[20,30)",Surinaams,"[40,50)",Autochtoon,19540
"[20,30)",Surinaams,"[40,50)",Marokkaans,4230
"[20,30)",Surinaams,"[40,50)",Overig,17590
"[20,30)",Surinaams,"[40,50)",Surinaams,10720
"[20,30)",Surinaams,"[40,50)",Turks,2090
"[20,30)",Surinaams,"[50,60)",Autochtoon,22160
"[20,30)",Surinaams,"[50,60)",Marokkaans,1730
"[20,30)",Surinaams,"[50,60)",Overig,14480
"[20,30)",Surinaams,"[50,60)",Surinaams,12190
"[20,30)",Surinaams,"[50,60)",Turks,1190
"[20,30)",Surinaams,"[60,70)",Autochtoon,9450
"[20,30)",Surinaams,"[60,70)",Marokkaans,290
"[20,30)",Surinaams,"[60,70)",Overig,4830
"[20,30)",Surinaams,"[60,70)",Surinaams,4370
"[20,30)",Surinaams,"[70,80)",Autochtoon,280
"[20,30)",Surinaams,"[70,80)",Overig,20
"[20,30)",Surinaams,"[70,80)",Surinaams,20
"[20,30)",Turks,"[0,20)",Autochtoon,9270
"[20,30)",Turks,"[0,20)",Marokkaans,14420
"[20,30)",Turks,"[0,20)",Overig,10540
"[20,30)",Turks,"[0,20)",Surinaams,4390
"[20,30)",Turks,"[0,20)",Turks,7040
"[20,30)",Turks,"[20,30)",Autochtoon,53310
"[20,30)",Turks,"[20,30)",Marokkaans,19910
"[20,30)",Turks,"[20,30)",Overig,35480
"[20,30)",Turks,"[20,30)",Surinaams,11300
"[20,30)",Turks,"[20,30)",Turks,13110
"[20,30)",Turks,"[30,40)",Autochtoon,19730
"[20,30)",Turks,"[30,40)",Marokkaans,7690
"[20,30)",Turks,"[30,40)",Overig,16510
"[20,30)",Turks,"[30,40)",Surinaams,6340
"[20,30)",Turks,"[30,40)",Turks,8530
"[20,30)",Turks,"[40,50)",Autochtoon,12360
"[20,30)",Turks,"[40,50)",Marokkaans,3910
"[20,30)",Turks,"[40,50)",Overig,8920
"[20,30)",Turks,"[40,50)",Surinaams,2920
"[20,30)",Turks,"[40,50)",Turks,3620
"[20,30)",Turks,"[50,60)",Autochtoon,13750
"[20,30)",Turks,"[50,60)",Marokkaans,2100
"[20,30)",Turks,"[50,60)",Overig,6930
"[20,30)",Turks,"[50,60)",Surinaams,4160
"[20,30)",Turks,"[50,60)",Turks,1390
"[20,30)",Turks,"[60,70)",Autochtoon,6330
"[20,30)",Turks,"[60,70)",Marokkaans,160
"[20,30)",Turks,"[60,70)",Overig,2300
"[20,30)",Turks,"[60,70)",Surinaams,1340
"[20,30)",Turks,"[60,70)",Turks,30
"[20,30)",Turks,"[70,80)",Autochtoon,30
"[30,40)",Autochtoon,"[0,20)",Autochtoon,17990
"[30,40)",Autochtoon,"[0,20)",Marokkaans,11720
"[30,40)",Autochtoon,"[0,20)",Overig,12290
"[30,40)",Autochtoon,"[0,20)",Surinaams,4750
"[30,40)",Autochtoon,"[0,20)",Turks,3670
"[30,40)",Autochtoon,"[20,30)",Autochtoon,457490
"[30,40)",Autochtoon,"[20,30)",Marokkaans,31790
"[30,40)",Autochtoon,"[20,30)",Overig,216590
"[30,40)",Autochtoon,"[20,30)",Surinaams,28540
"[30,40)",Autochtoon,"[20,30)",Turks,17360
