etngrp_src,lft_src,etngrp_dst,lft_dst,n
Autochtoon,"[30,40)",Autochtoon,"[20,30)",30230
Autochtoon,"[30,40)",Autochtoon,"[30,40)",56760
Autochtoon,"[30,40)",Autochtoon,"[40,50)",18700
Autochtoon,"[30,40)",Autochtoon,"[50,60)",14150
Autochtoon,"[30,40)",Autochtoon,"[60,70)",23510
Autochtoon,"[30,40)",Autochtoon,"[70,80)",9230
Autochtoon,"[30,40)",Autochtoon,"[80,120]",440
Autochtoon,"[30,40)",Marokkaans,"[0,20)",270
Autochtoon,"[30,40)",Marokkaans,"[30,40)",200
Autochtoon,"[30,40)",Marokkaans,"[40,50)",10
Autochtoon,"[30,40)",Overig,"[0,20)",7200
Autochtoon,"[30,40)",Overig,"[20,30)",2440
Autochtoon,"[30,40)",Overig,"[30,40)",6820
Autochtoon,"[30,40)",Overig,"[40,50)",4360
Autochtoon,"[30,40)",Overig,"[50,60)",1260
Autochtoon,"[30,40)",Overig,"[60,70)",2310
Autochtoon,"[30,40)",Overig,"[70,80)",600
Autochtoon,"[30,40)",Surinaams,"[0,20)",580
Autochtoon,"[30,40)",Surinaams,"[20,30)",250
Autochtoon,"[30,40)",Surinaams,"[30,40)",650
Autochtoon,"[30,40)",Surinaams,"[40,50)",140
Autochtoon,"[30,40)",Turks,"[0,20)",100
Autochtoon,"[30,40)",Turks,"[30,40)",60
Autochtoon,"[30,40)",Turks,"[40,50)",10
Autochtoon,"[40,50)",Autochtoon,"[0,20)",51750
Autochtoon,"[40,50)",Autochtoon,"[20,30)",10820
Autochtoon,"[40,50)",Autochtoon,"[30,40)",18700
Autochtoon,"[40,50)",Autochtoon,"[40,50)",41440
Autochtoon,"[40,50)",Autochtoon,"[50,60)",23310
Autochtoon,"[40,50)",Autochtoon,"[60,70)",12420
Autochtoon,"[40,50)",Autochtoon,"[70,80)",17580
Autochtoon,"[40,50)",Autochtoon,"[80,120]",370
Autochtoon,"[40,50)",Marokkaans,"[0,20)",360
Autochtoon,"[40,50)",Marokkaans,"[20,30)",10
Autochtoon,"[40,50)",Marokkaans,"[30,40)",10
Autochtoon,"[40,50)",Marokkaans,"[40,50)",50
