etngrp_src,lft_src,etngrp_dst,lft_dst,n
Marokkaans,"[30,40)",Marokkaans,"[20,30)",15440
Marokkaans,"[30,40)",Marokkaans,"[30,40)",19760
Marokkaans,"[30,40)",Marokkaans,"[40,50)",15270
Marokkaans,"[30,40)",Marokkaans,"[50,60)",9550
Marokkaans,"[30,40)",Marokkaans,"[60,70)",850
Marokkaans,"[30,40)",Overig,"[0,20)",3610
Marokkaans,"[30,40)",Overig,"[20,30)",19450
Marokkaans,"[30,40)",Overig,"[30,40)",24600
Marokkaans,"[30,40)",Overig,"[40,50)",14910
Marokkaans,"[30,40)",Overig,"[50,60)",16150
Marokkaans,"[30,40)",Overig,"[60,70)",5820
Marokkaans,"[30,40)",Overig,"[70,80)",10
Marokkaans,"[30,40)",Surinaams,"[0,20)",1590
Marokkaans,"[30,40)",Surinaams,"[20,30)",6730
Marokkaans,"[30,40)",Surinaams,"[30,40)",7130
Marokkaans,"[30,40)",Surinaams,"[40,50)",6660
Marokkaans,"[30,40)",Surinaams,"[50,60)",8910
Marokkaans,"[30,40)",Surinaams,"[60,70)",3760
Marokkaans,"[30,40)",Surinaams,"[70,80)",10
Marokkaans,"[30,40)",Turks,"[0,20)",2510
Marokkaans,"[30,40)",Turks,"[20,30)",7670
Marokkaans,"[30,40)",Turks,"[30,40)",8580
Marokkaans,"[30,40)",Turks,"[40,50)",6600
Marokkaans,"[30,40)",Turks,"[50,60)",5130
Marokkaans,"[30,40)",Turks,"[60,70)",960
Marokkaans,"[40,50)",Autochtoon,"[0,20)",1850
Marokkaans,"[40,50)",Autochtoon,"[20,30)",19770
Marokkaans,"[40,50)",Autochtoon,"[30,40)",23260
Marokkaans,"[40,50)",Autochtoon,"[40,50)",25880
Marokkaans,"[40,50)",Autochtoon,"[50,60)",32210
Marokkaans,"[40,50)",Autochtoon,"[60,70)",14320
Marokkaans,"[40,50)",Marokkaans,"[0,20)",3770
Marokkaans,"[40,50)",Marokkaans,"[20,30)",11550
Marokkaans,"[40,50)",Marokkaans,"[30,40)",15490
Marokkaans,"[40,50)",Marokkaans,"[40,50)",18020
Marokkaans,"[40,50)",Marokkaans,"[50,60)",9720
Marokkaans,"[40,50)",Marokkaans,"[60,70)",1020
Marokkaans,"[40,50)",Overig,"[0,20)",2060
Marokkaans,"[40,50)",Overig,"[20,30)",10360
Marokkaans,"[40,50)",Overig,"[30,40)",17020
Marokkaans,"[40,50)",Overig,"[40,50)",18330
Marokkaans,"[40,50)",Overig,"[50,60)",19230
Marokkaans,"[40,50)",Overig,"[60,70)",6090
Marokkaans,"[40,50)",Surinaams,"[0,20)",1040
Marokkaans,"[40,50)",Surinaams,"[20,30)",4220
Marokkaans,"[40,50)",Surinaams,"[30,40)",5260
Marokkaans,"[40,50)",Surinaams,"[40,50)",5680
Marokkaans,"[40,50)",Surinaams,"[50,60)",10700
Marokkaans,"[40,50)",Surinaams,"[60,70)",4030
Marokkaans,"[40,50)",Turks,"[0,20)",1490
Marokkaans,"[40,50)",Turks,"[20,30)",3860
Marokkaans,"[40,50)",Turks,"[30,40)",5690
Marokkaans,"[40,50)",Turks,"[40,50)",7040
Marokkaans,"[40,50)",Turks,"[50,60)",5920
Marokkaans,"[40,50)",Turks,"[60,70)",530
Marokkaans,"[50,60)",Autochtoon,"[0,20)",730
Marokkaans,"[50,60)",Autochtoon,"[20,30)",8120
Marokkaans,"[50,60)",Autochtoon,"[30,40)",10260
